GAME_ID,PLAYER_ID,FGM,FGA,FG3M,FG3A,PTS,PLUS_MINUS
12100042,1630180,1,2,0,0,4,-13
12100042,1629723,1,1,1,1,3,23
12100043,202066,2,8,0,1,4,-27
12100043,202711,5,11,2,7,15,23
12100044,203084,6,10,3,6,16,17
12100044,1629833,0,2,0,1,0,-19
12100045,1627736,1,2,0,1,2,10
12100045,1629611,6,15,3,8,15,-9
12100035,1629640,5,9,1,3,12,3
12100035,203082,7,14,2,4,20,16
12100036,201942,9,17,2,3,23,-8
12100036,1628374,8,14,2,5,18,13
12100037,1629652,7,11,4,6,19,-11
12100037,203114,6,6,2,2,14,11
12100038,1628969,3,7,1,2,9,9
12100038,203145,3,7,2,5,8,-14
12100032,1628384,6,14,3,8,17,1
12100032,1628369,6,15,3,10,20,-7
12100033,1629628,5,12,4,8,18,2
12100033,203484,1,4,1,3,4,-17
12100034,203524,0,3,0,1,0,-4
12100034,1630217,7,13,4,8,18,2
12100025,203200,1,4,1,3,3,4
12100025,1630171,0,3,0,0,0,-20
12100026,1629670,11,21,6,10,30,15
12100026,201142,5,14,2,5,18,15
12100027,202066,3,6,1,4,7,-22
12100027,1629750,2,2,0,0,7,24
12100028,202331,2,8,1,5,6,-16
12100028,1627827,1,5,0,3,2,6
12100029,1629130,0,5,0,5,0,-9
12100029,1629640,8,13,2,4,23,7
12100030,1630183,1,6,0,4,2,-16
12100030,1629008,6,14,4,8,16,24
12100031,203145,3,9,3,7,11,3
12100031,203490,3,7,2,4,9,-11
12100022,1630217,8,11,3,5,19,25
12100022,1628998,1,2,0,1,2,-16
12100023,1628384,8,14,4,7,22,-12
12100023,201980,4,8,3,6,11,5
12100024,1629130,7,14,5,11,20,4
12100024,1627863,0,7,0,3,0,-13
12100020,1629659,3,7,2,4,11,-1
12100020,1628969,7,18,1,4,15,23
12100015,1629640,8,18,0,2,18,-12
12100015,1630180,5,11,1,4,13,6
12100016,1630171,3,8,1,4,12,1
12100016,1629631,2,11,2,3,8,0
12100017,203914,2,6,0,1,4,6
12100017,202066,0,3,0,1,0,-2
12100018,1629671,1,7,1,6,3,-20
12100018,1630182,0,3,0,0,0,12
12100019,203085,1,6,0,2,3,10
12100019,203952,1,4,0,1,4,-1
12100021,203084,4,7,1,4,11,18
12100021,202331,4,10,1,5,9,1
12100011,203087,2,7,1,4,7,-9
12100011,1629628,7,14,3,6,17,20
12100012,1630171,1,3,0,1,2,-21
12100012,1629750,6,9,1,1,13,30
12100013,1630557,5,9,2,6,12,4
12100013,201569,2,3,2,3,6,-5
12100014,1629670,7,15,1,4,16,-14
12100014,1630217,4,10,2,4,10,12
12100002,201980,0,2,0,2,0,-24
12100002,1628384,7,12,3,3,21,1
12100003,203082,2,9,0,2,5,-8
12100003,1628369,6,16,1,4,18,-14
